job title,company name,location,links
Senior Python / Django Developer,RDI -,"Dokki, Giza, Egypt ",/jobs/p/8GI7basJVztd-Senior-Python-Django-Developer-RDI-Giza-Egypt?o=1&l=sp&t=sj&a=python|search-v3|hpb
Python API Developer Ocucon Team (UK) - (Alexandria),Procrew -,"Alexandria, Egypt ",/jobs/p/F8yPmGvgWZ5k-Python-API-Developer-Ocucon-Team-UK---Alexandria-Procrew-Alexandria-Egypt?o=2&l=sp&t=sj&a=python|search-v3|hpb
Python-Django Developer,Paymob Solutions -,"Maadi, Cairo, Egypt ",/jobs/p/kwe5h80g8Wjf-Python-Django-Developer-Paymob-Solutions-Cairo-Egypt?o=3&l=sp&t=sj&a=python|search-v3|hpb
Senior Python Backend Developer,CROCOSOFT -,"New Cairo, Cairo, Egypt ",/jobs/p/xoIvuBsGtAnO-Senior-Python-Backend-Developer-CROCOSOFT-Cairo-Egypt?o=4&l=sp&t=sj&a=python|search-v3|hpb
Senior Python Developer,Paymob Solutions -,"Maadi, Cairo, Egypt ",/jobs/p/8jpom3yTbAor-Senior-Python-Developer-Paymob-Solutions-Cairo-Egypt?o=5&l=sp&t=sj&a=python|search-v3|hpb
Full Stack Python Developer,El Geel El Rakamy -,"Helwan, Cairo, Egypt ",/jobs/p/WdeSIOMzyMtU-Full-Stack-Python-Developer-El-Geel-El-Rakamy-Cairo-Egypt?o=6&l=sp&t=sj&a=python|search-v3|hpb
Senior Backend Developer - Node.js & Python,DIGIS2 -,"Maadi, Cairo, Egypt ",/jobs/p/Vo0FB8GwaBp7-Senior-Backend-Developer---Nodejs-Python-DIGIS2-Cairo-Egypt?o=7&l=sp&t=sj&a=python|search-v3|hpb
ERP Next - Python Developer,Houya Arrow -,"Heliopolis, Cairo, Egypt ",/jobs/p/XTPf8LY01DTQ-ERP-Next---Python-Developer-Houya-Arrow-Cairo-Egypt?o=8&l=sp&t=sj&a=python|search-v3|hpb
Python Software Developer (Packet Core CDD),Sceel.io -,"Maadi, Cairo, Egypt ",/jobs/p/4aTpdrP623pr-Python-Software-Developer-Packet-Core-CDD-Sceel-io-Cairo-Egypt?o=9&l=sp&t=sj&a=python|search-v3|hpb
Senior Backend (Python) Engineer - Customer Domain,Nana -,"Sheraton, Cairo, Egypt ",/jobs/p/K2YCB4wsIGwr-Senior-Backend-Python-Engineer---Customer-Domain-Nana-Cairo-Egypt?o=10&l=sp&t=sj&a=python|search-v3|hpb
Python Developer,OdooTec -,"New Cairo, Cairo, Egypt ",/jobs/p/ZdWb6pnGtLmB-Python-Developer-OdooTec-Cairo-Egypt?o=11&l=sp&t=sj&a=python|search-v3|hpb
Python Developer,WeArt -,"Dammam, Saudi Arabia ",/jobs/p/cPvgV6Wt9Wjx-Python-Developer-WeArt-Dammam-Saudi-Arabia?o=12&l=sp&t=sj&a=python|search-v3|hpb
Senior Python Developer,Trufla -,"Heliopolis, Cairo, Egypt ",/jobs/p/ONfRqVhgKtiC-Senior-Python-Developer-Trufla-Cairo-Egypt?o=13&l=sp&t=sj&a=python|search-v3|hpb
Full Stack Python Developer (Open Edx Developer),Dolf -,"Heliopolis, Cairo, Egypt ",/jobs/p/iu3t3cJ97TTT-Full-Stack-Python-Developer-Open-Edx-Developer-Dolf-Cairo-Egypt?o=14&l=sp&t=sj&a=python|search-v3|hpb
Python Back-End Developer (Part-Time),Snuggs Egypt -,"New Cairo, Cairo, Egypt ",/jobs/p/l2Q5ejbze43P-Python-Back-End-Developer-Part-Time-Snuggs-Egypt-Cairo-Egypt?o=15&l=sp&t=sj&a=python|search-v3|hpb
